accessionyear,technique,dateend,creditline,primaryimageurl,places/0/placeid,places/0/type,places/0/displayname,medium,url,id,title,division,datebegin,classification,images/0/baseimageurl,images/0/publiccaption,images/0/displayorder,images/0/idsid,images/0/copyright,images/0/renditionnumber,dimensions,culture,images/1/baseimageurl,images/1/publiccaption,images/1/displayorder,images/1/idsid,images/1/copyright,images/1/renditionnumber,images/2/baseimageurl,images/2/publiccaption,images/2/displayorder,images/2/idsid,images/2/copyright,images/2/renditionnumber,images/3/baseimageurl,images/3/publiccaption,images/3/displayorder,images/3/idsid,images/3/copyright,images/3/renditionnumber,images/4/baseimageurl,images/4/publiccaption,images/4/displayorder,images/4/idsid,images/4/copyright,images/4/renditionnumber,images/5/baseimageurl,images/5/publiccaption,images/5/displayorder,images/5/idsid,images/5/copyright,images/5/renditionnumber,images/6/baseimageurl,images/6/publiccaption,images/6/displayorder,images/6/idsid,images/6/copyright,images/6/renditionnumber,images/7/baseimageurl,images/7/publiccaption,images/7/displayorder,images/7/idsid,images/7/copyright,images/7/renditionnumber,images/8/baseimageurl,images/8/publiccaption,images/8/displayorder,images/8/idsid,images/8/copyright,images/8/renditionnumber,images/9/baseimageurl,images/9/publiccaption,images/9/displayorder,images/9/idsid,images/9/copyright,images/9/renditionnumber,places/1/placeid,places/1/type,places/1/displayname
1952,,-771,"Harvard Art Museums/Arthur M. Sackler Museum, Gift of Dr. Arnold Knapp",http://nrs.harvard.edu/urn-3:HUAM:VRS44159_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze with greenish patina; inscription is probably modern,http://harvardartmuseums.org/collections/object/203673,203673,Ritual Wine Pouring Vessel (Yi) with a Handle in the Form of a Dragon,Asian and Mediterranean Art,-875,Vessels,http://nrs.harvard.edu/urn-3:HUAM:VRS44159_dynmc,,1,20680529,President and Fellows of Harvard College,44159,20.4 x 36.6 x 19.3 cm (8 1/16 x 14 7/16 x 7 5/8 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,,-975,"Harvard Art Museums/Arthur M. Sackler Museum, Gift of Dr. Arnold Knapp",http://nrs.harvard.edu/urn-3:HUAM:VRS44157_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze; with integrally cast inscription on vessel floor,http://harvardartmuseums.org/collections/object/203692,203692,"Ritual Wine Vessel (Zhi) with ""Taotie"" and Striding Kui-Dragon Decor",Asian and Mediterranean Art,-1050,Vessels,http://nrs.harvard.edu/urn-3:HUAM:VRS44157_dynmc,,1,20680528,President and Fellows of Harvard College,VRS44157,14.2 x 10.7 x 8.3 cm (5 9/16 x 4 3/16 x 3 1/4 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944,,-975,"Harvard Art Museums/Arthur M. Sackler Museum, Anonymous gift",http://nrs.harvard.edu/urn-3:HUAM:VRS46949_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze; with integrally cast inscriptions on vessel floor and interior of cover,http://harvardartmuseums.org/collections/object/203870,203870,'You' Covered Ritual Wine Vessel with Animal-Head Bail Handle and with 'Taotie' and Striding 'Kui'-Dragon Decor,Asian and Mediterranean Art,-1050,Vessels,http://nrs.harvard.edu/urn-3:HUAM:VRS46949_dynmc,,1,20681533,President and Fellows of Harvard College,46949,H. (to top of handle) 29.2 x W. 18.1 cm (11 1/2 x 7 1/8 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,,0,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Helen Pratt Dane",http://nrs.harvard.edu/urn-3:HUAM:CARP03880_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze,http://harvardartmuseums.org/collections/object/203894,203894,Ritual Wine Vessel (Zun),Asian and Mediterranean Art,0,Vessels,http://nrs.harvard.edu/urn-3:HUAM:CARP03880_dynmc,,1,18731449,President and Fellows of Harvard College,CARP03880,H. 33.02 cm (13 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944,,-400,"Harvard Art Museums/Arthur M. Sackler Museum, Anonymous gift",http://nrs.harvard.edu/urn-3:HUAM:VRS46957_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze with malachite and copper inlays,http://harvardartmuseums.org/collections/object/203945,203945,Ritual Wine Vessel (Hu) with Inlaid Decoration of Dragons and Animals,Asian and Mediterranean Art,-475,Vessels,http://nrs.harvard.edu/urn-3:HUAM:VRS46957_dynmc,,1,20681538,President and Fellows of Harvard College,46957,H. 35.5 x Diam. 25.8 cm (14 x 10 3/16 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,-975,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:DDC251214_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze with greenish patina; with dedicatory inscription by Servitor Chen inscribed on both the vessel floor and lid interior,http://harvardartmuseums.org/collections/object/203983,203983,'You' Covered Ritual Wine Vessel with Elephant and 'Taotie' Decor and with Ram-Head Bail Handle,Asian and Mediterranean Art,-1025,Vessels,http://nrs.harvard.edu/urn-3:HUAM:DDC251214_dynmc,,1,46594010,President and Fellows of Harvard College,DDC251214,H. 26.9 x W. 25.5 x D. 19.3 cm (10 9/16 x 10 1/16 x 7 5/8 in.),Chinese,http://nrs.harvard.edu/urn-3:HUAM:DDC251558_dynmc,,2,46594060,President and Fellows of Harvard College,DDC251558,http://nrs.harvard.edu/urn-3:HUAM:DDC251559_dynmc,,3,46594061,President and Fellows of Harvard College,DDC251559,http://nrs.harvard.edu/urn-3:HUAM:DDC251560_dynmc,,4,46594062,President and Fellows of Harvard College,DDC251560,http://nrs.harvard.edu/urn-3:HUAM:DDC251561_dynmc,inscription inside vessel lid,5,47473881,President and Fellows of Harvard College,DDC251561,http://nrs.harvard.edu/urn-3:HUAM:48874_dynmc,"detail, rubbing of inscription",6,43183145,President and Fellows of Harvard College,48874,http://nrs.harvard.edu/urn-3:HUAM:48875_dynmc,,7,43183146,President and Fellows of Harvard College,48875,http://nrs.harvard.edu/urn-3:HUAM:51119_dynmc,,8,17386428,President and Fellows of Harvard College,51119,http://nrs.harvard.edu/urn-3:HUAM:51120_dynmc,inscription on vessel floor,9,17386429,President and Fellows of Harvard College,51120,,,,,,,,,
1943,,-1100,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:51094_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze with gray patina; with inscription cast on both the vessel floor and lid interior,http://harvardartmuseums.org/collections/object/203988,203988,'Fangyi' Covered Ritual Wine Vessel with 'Taotie' Decor,Asian and Mediterranean Art,-1200,Vessels,http://nrs.harvard.edu/urn-3:HUAM:51094_dynmc,,1,17386425,President and Fellows of Harvard College,51094,"H. 30.2 x W. 20.1 x D. 17.6 cm (11 7/8 x 7 15/16 x 6 15/16 in.)
Weight 6020.02 g (lid 2476.33 g, vessel 3543.69 g)",Chinese,http://nrs.harvard.edu/urn-3:HUAM:48929_dynmc,,2,43183165,President and Fellows of Harvard College,48929,http://nrs.harvard.edu/urn-3:HUAM:51095_dynmc,,3,17386426,President and Fellows of Harvard College,51095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,-1000,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:51322_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze with olive-green patina; with inscription cast below the handle,http://harvardartmuseums.org/collections/object/203995,203995,'He' Covered Ritual Pouring Vessel with 'Taotie' Decor,Asian and Mediterranean Art,-1400,Vessels,http://nrs.harvard.edu/urn-3:HUAM:51322_dynmc,,1,17386615,President and Fellows of Harvard College,51322,H. 30.0 x W. 25.5 x D. 19.4 cm (11 13/16 x 10 1/16 x 7 5/8 in.),Chinese,http://nrs.harvard.edu/urn-3:HUAM:48952_dynmc,,2,43183171,President and Fellows of Harvard College,48952,http://nrs.harvard.edu/urn-3:HUAM:51323_dynmc,,3,17386616,President and Fellows of Harvard College,51323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,-801,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:51602_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze,http://harvardartmuseums.org/collections/object/204087,204087,Large Chariot Fitting with Decoration of Interlaced Dragons (One of a Pair),Asian and Mediterranean Art,-900,Sculpture,http://nrs.harvard.edu/urn-3:HUAM:51602_dynmc,,1,17387716,President and Fellows of Harvard College,51602,16.2 x 34.5 x 12.5 cm (6 3/8 x 13 9/16 x 4 15/16 in.),Chinese,http://nrs.harvard.edu/urn-3:HUAM:48980_dynmc,,2,43183175,President and Fellows of Harvard College,48980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,-1000,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:51312_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze with patina and encrustations; with inscription cast on the interior,http://harvardartmuseums.org/collections/object/204094,204094,'Ding' Ritual Food Vessel with 'Taotie' Decor,Asian and Mediterranean Art,-1400,Vessels,http://nrs.harvard.edu/urn-3:HUAM:51312_dynmc,,1,17386605,President and Fellows of Harvard College,51312,"H. 24.6 x W. 21.6 x Diam. 20.9 cm (9 11/16 x 8 1/2 x 8 1/4 in.)
Weight 3827.19 g",Chinese,http://nrs.harvard.edu/urn-3:HUAM:VRS39543_dynmc,,2,20678837,President and Fellows of Harvard College,39543,http://nrs.harvard.edu/urn-3:HUAM:48891_dynmc,,3,43183151,President and Fellows of Harvard College,48891,http://nrs.harvard.edu/urn-3:HUAM:48892_dynmc,"detail, rubbing of inscription",4,43183152,President and Fellows of Harvard College,48892,http://nrs.harvard.edu/urn-3:HUAM:51313_dynmc,detail of inscription,5,17386606,President and Fellows of Harvard College,51313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944,,0,"Harvard Art Museums/Arthur M. Sackler Museum, Anonymous gift",http://nrs.harvard.edu/urn-3:HUAM:VRS46951_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze,http://harvardartmuseums.org/collections/object/204102,204102,Ritual Food Vessel (Gui) with Four Handles and 'Taotie' Decor,Asian and Mediterranean Art,0,Vessels,http://nrs.harvard.edu/urn-3:HUAM:VRS46951_dynmc,,1,20681534,President and Fellows of Harvard College,46951,10.48 x 25.08 x 16.51 cm (4 1/8 x 9 7/8 x 6 1/2 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944,,0,"Harvard Art Museums/Arthur M. Sackler Museum, Anonymous gift",http://nrs.harvard.edu/urn-3:HUAM:VRS46941_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze,http://harvardartmuseums.org/collections/object/204169,204169,Covered Ritual Wine Vessel (You) with 'Taotie' Decor,Asian and Mediterranean Art,0,Vessels,http://nrs.harvard.edu/urn-3:HUAM:VRS46941_dynmc,,1,20681530,President and Fellows of Harvard College,46941,35 x 18.6 cm (13 3/4 x 7 5/16 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,1943,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:VRS48985_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze; with inscription on the vessel floor and interior of cover,http://harvardartmuseums.org/collections/object/204234,204234,"Covered Ritual Wine Pouring Vessel (Guang) with Animal and ""Taotie"" Decor (a forgery purporting to date to the Shang dynasty)",Asian and Mediterranean Art,1900,Vessels,http://nrs.harvard.edu/urn-3:HUAM:VRS48985_dynmc,,1,20682347,President and Fellows of Harvard College,48985,H. 19.7 x W. 8.5 x L. 23 cm (7 3/4 x 3 3/8 x 9 1/16 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,-221,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:VRS11640_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze,http://harvardartmuseums.org/collections/object/204272,204272,"Small Circular Mirror with Relief Decoration of Two Hunters, Each Pursuing an Animal, against a Textured Ground",Asian and Mediterranean Art,-475,Mirrors,http://nrs.harvard.edu/urn-3:HUAM:VRS11640_dynmc,,1,20669115,President and Fellows of Harvard College,11640,"Diam. 10.5 cm (4 1/8 in.)
Weight: 81 g",Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,-221,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:39556_dynmc,2035853,Creation Place,"East Asia, China, Hunan province, Changsha","Cast Bronze with decoration cold-painted in mineral pigments; reputedly from Changsha, Hunan province",http://harvardartmuseums.org/collections/object/204277,204277,Circular Mirror with Painted Decoration of Human Figures and Horses,Asian and Mediterranean Art,-475,Mirrors,http://nrs.harvard.edu/urn-3:HUAM:39556_dynmc,,1,43182357,President and Fellows of Harvard College,39556,"Diam. 22 cm (8 11/16 in.)
Weight 637.5 g",Chinese,http://nrs.harvard.edu/urn-3:HUAM:44490_dynmc,,2,43182660,President and Fellows of Harvard College,44490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,Inlaid,-221,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:71181_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze with gold and silver inlay and with yellow and blue glass inlay,http://harvardartmuseums.org/collections/object/204296,204296,Baluster-Shaped Chariot Pole End-Cap (One of a Pair),Asian and Mediterranean Art,-475,Riding Equipment,http://nrs.harvard.edu/urn-3:HUAM:71181_dynmc,,1,17804649,President and Fellows of Harvard College,71181,10.5 x 4.3 cm (4 1/8 x 1 11/16 in.),Chinese,http://nrs.harvard.edu/urn-3:HUAM:44465_dynmc,,2,43182640,President and Fellows of Harvard College,44465,http://nrs.harvard.edu/urn-3:HUAM:49188_dynmc,,3,43183196,President and Fellows of Harvard College,49188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,-221,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:INV215886_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze,http://harvardartmuseums.org/collections/object/204304,204304,"Circular Mirror with Decoration of Four Long-Tailed Birds, Perhaps Phoenixes, against a Ground of Volutes",Asian and Mediterranean Art,-475,Mirrors,http://nrs.harvard.edu/urn-3:HUAM:INV215886_dynmc,,1,13565640,President and Fellows of Harvard College,INV215886,"Diam. 20.1 cm (7 15/16 in.)
Weight: 550 g",Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,-221,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:21091_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze,http://harvardartmuseums.org/collections/object/204309,204309,"Circular Double-Tier Mirror with Domed, Openwork Decoration of Intertwined Snake-Dragons",Asian and Mediterranean Art,-475,Mirrors,http://nrs.harvard.edu/urn-3:HUAM:21091_dynmc,,1,17325115,President and Fellows of Harvard College,21091,"Diam. 13.9 cm (5 1/2 in.)
Weight 595 g",Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,-975,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:51150_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze; with inscriptions on vessel floor and interior of cover,http://harvardartmuseums.org/collections/object/204311,204311,"Covered Ritual Wine Pouring Vessel (Guang) with Animal, Bird, and ""Taotie"" Decor",Asian and Mediterranean Art,-1050,Vessels,http://nrs.harvard.edu/urn-3:HUAM:51150_dynmc,,1,17386457,President and Fellows of Harvard College,51150,H. 29.1 x L. 32.6 x W. 12.1 cm (11 7/16 x 12 13/16 x 4 3/4 in.),Chinese,http://nrs.harvard.edu/urn-3:HUAM:48990_dynmc,,2,43183179,President and Fellows of Harvard College,48990,http://nrs.harvard.edu/urn-3:HUAM:51149_dynmc,,3,17386456,President and Fellows of Harvard College,51149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,-400,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:21343_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze with traces of malachite and copper-wire inlay,http://harvardartmuseums.org/collections/object/204347,204347,Covered Spherical Food Vessel (Dui) with Geometric Decor,Asian and Mediterranean Art,-425,Vessels,http://nrs.harvard.edu/urn-3:HUAM:21343_dynmc,,1,17328908,President and Fellows of Harvard College,21343,H. 27.5 x W. 28.3 x D. 20.5 cm (10 13/16 x 11 1/8 x 8 1/16 in.),Chinese,http://nrs.harvard.edu/urn-3:HUAM:48941_dynmc,,2,43183169,President and Fellows of Harvard College,48941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,828,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:51069_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze; with localized areas of parcel gilding and dated inscription,http://harvardartmuseums.org/collections/object/204359,204359,Rectangular Mirror with Foliate Rim and Relief Decoration of a Seated Buddha and a Dedicatory Inscription,Asian and Mediterranean Art,828,Mirrors,http://nrs.harvard.edu/urn-3:HUAM:51069_dynmc,,1,17386408,President and Fellows of Harvard College,51069,H. 6.5 x W. 8.7 x D. 1.2 cm (2 9/16 x 3 7/16 x 1/2 in.),Chinese,http://nrs.harvard.edu/urn-3:HUAM:44492_dynmc,,2,43182662,President and Fellows of Harvard College,44492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,-401,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:VRS48870_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze,http://harvardartmuseums.org/collections/object/204361,204361,"Ritual Bell (Bo zhong) with Decoration of Interlaced Dragons, Coiled-Snake Bosses, and with Openwork Handle in the Form of Confronting Felines atop Snakes",Asian and Mediterranean Art,-600,Ritual Implements,http://nrs.harvard.edu/urn-3:HUAM:VRS48870_dynmc,,1,20682319,President and Fellows of Harvard College,48870,sight: 66.04 x 46.36 x 36.83 cm (26 x 18 1/4 x 14 1/2 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,Inlaid,-221,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:44485_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze with copper inlay,http://harvardartmuseums.org/collections/object/204366,204366,Covered Ritual Wine Vessel (Hu) with Dragon Decor and with Two Taotie-Mask Ring-Handles,Asian and Mediterranean Art,-475,Vessels,http://nrs.harvard.edu/urn-3:HUAM:44485_dynmc,,1,43182655,President and Fellows of Harvard College,44485,43 x 26 cm (16 15/16 x 10 1/4 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,Cloisonné,0,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:CARP13785_dynmc,2028317,Creation Place,"East Asia, China",Bronze,http://harvardartmuseums.org/collections/object/204412,204412,Cloisonne Ox with Stand,Asian and Mediterranean Art,0,Sculpture,http://nrs.harvard.edu/urn-3:HUAM:CARP13785_dynmc,,1,18727461,President and Fellows of Harvard College,CARP13785,,Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,0,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:VRS49167_dynmc,2028317,Creation Place,"East Asia, China",Bronze,http://harvardartmuseums.org/collections/object/204474,204474,Sword with Inscribed Hilt,Asian and Mediterranean Art,0,Weapons and Ammunition,http://nrs.harvard.edu/urn-3:HUAM:VRS49167_dynmc,,1,20682403,President and Fellows of Harvard College,49167,,Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,Inlaid,-200,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:VRS49162_dynmc,2028317,Creation Place,"East Asia, China",Bronze with turquoise inlays (inscription cast on both sides of the sword guard),http://harvardartmuseums.org/collections/object/204506,204506,Sword with Inscription in Bird-Script Characters,Asian and Mediterranean Art,-499,Weapons and Ammunition,http://nrs.harvard.edu/urn-3:HUAM:VRS49162_dynmc,,1,20682399,President and Fellows of Harvard College,49162,45.7 x 4.9 cm (18 x 1 15/16 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,Inlaid,-1000,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:50759_dynmc,2028317,Creation Place,"East Asia, China",Bronze with turquoise inlay,http://harvardartmuseums.org/collections/object/204619,204619,"Dagger, Ordos Type",Asian and Mediterranean Art,-1400,Weapons and Ammunition,http://nrs.harvard.edu/urn-3:HUAM:50759_dynmc,,1,17358158,President and Fellows of Harvard College,50759,L. 35.5 x W. 7.7 x Thickness 1.3 cm (14 x 3 1/16 x 1/2 in.),Chinese,http://nrs.harvard.edu/urn-3:HUAM:50758_dynmc,,2,17358157,President and Fellows of Harvard College,50758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,Inlaid,-1000,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:30675_dynmc,2028317,Creation Place,"East Asia, China",Bronze with turquoise inlay,http://harvardartmuseums.org/collections/object/204621,204621,Inlaid Ceremonial Weapon Handle in the Form of a Dragon,Asian and Mediterranean Art,-1400,Ritual Implements,http://nrs.harvard.edu/urn-3:HUAM:30675_dynmc,,1,17357905,President and Fellows of Harvard College,30675,H. 9.6 x W. 12.9 x D. 3.0 cm (3 3/4 x 5 1/16 x 1 3/16 in.),Chinese,http://nrs.harvard.edu/urn-3:HUAM:44463_dynmc,,2,43182639,President and Fellows of Harvard College,44463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,Inlaid,-221,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:71078_dynmc,2035823,Creation Place,"East Asia, China, Henan province",Cast bronze with silver inlay,http://harvardartmuseums.org/collections/object/204633,204633,Cylindrical Chariot Pole End-Cap (One of a Pair),Asian and Mediterranean Art,-475,Riding Equipment,http://nrs.harvard.edu/urn-3:HUAM:71078_dynmc,,1,17804551,President and Fellows of Harvard College,71078,7.3 x 3.8 cm (2 7/8 x 1 1/2 in.),Chinese,http://nrs.harvard.edu/urn-3:HUAM:49193_dynmc,,2,43183197,President and Fellows of Harvard College,49193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,-1001,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:51163_dynmc,2028317,Creation Place,"East Asia, China",Bronze with pale green patina,http://harvardartmuseums.org/collections/object/204640,204640,Chariot Rein-Guide (?) with Decoration of Two Cicadas and with Ends Terminating in Round Bells,Asian and Mediterranean Art,-1600,Riding Equipment,http://nrs.harvard.edu/urn-3:HUAM:51163_dynmc,,1,17386470,President and Fellows of Harvard College,51163,10 x 36.7 x 3.5 cm (3 15/16 x 14 7/16 x 1 3/8 in.),Chinese,http://nrs.harvard.edu/urn-3:HUAM:11638_dynmc,,2,43181377,President and Fellows of Harvard College,11638,http://nrs.harvard.edu/urn-3:HUAM:51170_dynmc,,3,17386475,President and Fellows of Harvard College,51170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,Inlaid,-221,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:51035_dynmc,2028317,Creation Place,"East Asia, China","Bronze, partially gilt and with gold inlay",http://harvardartmuseums.org/collections/object/204652,204652,Garment Hook with Animal Head and Decoration of a Winged Dragon,Asian and Mediterranean Art,-475,Jewelry,http://nrs.harvard.edu/urn-3:HUAM:51035_dynmc,,1,17386379,President and Fellows of Harvard College,51035,H. 14.2 x W. 1.9 x D. 2 cm (5 9/16 x 3/4 x 13/16 in.),Chinese,http://nrs.harvard.edu/urn-3:HUAM:49238_dynmc,,2,43183210,President and Fellows of Harvard College,49238,http://nrs.harvard.edu/urn-3:HUAM:49239_dynmc,,3,43183211,President and Fellows of Harvard College,49239,http://nrs.harvard.edu/urn-3:HUAM:51036_dynmc,,4,17386380,President and Fellows of Harvard College,51036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,,800,"Harvard Art Museums/Arthur M. Sackler Museum, First Fogg Expedition to China (1923-1924)",http://nrs.harvard.edu/urn-3:HUAM:CARP09247_dynmc,2028317,Creation Place,"East Asia, China","Cast bronze; found in Karakhoto, Inner Mongolia",http://harvardartmuseums.org/collections/object/209772,209772,"Circular Mirror with Relief Decoration of Birds, Insects, and Mythical Beasts against a Fruiting Grapevine Arabesque",Asian and Mediterranean Art,675,Mirrors,http://nrs.harvard.edu/urn-3:HUAM:CARP09247_dynmc,,1,18723074,President and Fellows of Harvard College,CARP09247,Diam. 16.8 x Thickness 1.4 cm (6 5/8 x 9/16 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2035493,Find Spot,"East Asia, China, Inner Mongolia (Nei Menggu), Karakhoto"
