accessionyear,technique,dateend,creditline,primaryimageurl,places/0/placeid,places/0/type,places/0/displayname,medium,url,id,title,division,datebegin,classification,images/0/baseimageurl,images/0/publiccaption,images/0/displayorder,images/0/idsid,images/0/copyright,images/0/renditionnumber,dimensions,culture,images/1/baseimageurl,images/1/publiccaption,images/1/displayorder,images/1/idsid,images/1/copyright,images/1/renditionnumber,images/2/baseimageurl,images/2/publiccaption,images/2/displayorder,images/2/idsid,images/2/copyright,images/2/renditionnumber,images/3/baseimageurl,images/3/publiccaption,images/3/displayorder,images/3/idsid,images/3/copyright,images/3/renditionnumber,images/4/baseimageurl,images/4/publiccaption,images/4/displayorder,images/4/idsid,images/4/copyright,images/4/renditionnumber,images/5/baseimageurl,images/5/publiccaption,images/5/displayorder,images/5/idsid,images/5/copyright,images/5/renditionnumber,images/6/baseimageurl,images/6/publiccaption,images/6/displayorder,images/6/idsid,images/6/copyright,images/6/renditionnumber,images/7/baseimageurl,images/7/publiccaption,images/7/displayorder,images/7/idsid,images/7/copyright,images/7/renditionnumber,images/8/baseimageurl,images/8/publiccaption,images/8/displayorder,images/8/idsid,images/8/copyright,images/8/renditionnumber,images/9/baseimageurl,images/9/publiccaption,images/9/displayorder,images/9/idsid,images/9/copyright,images/9/renditionnumber,places/1/placeid,places/1/type,places/1/displayname
1955,,-221,"Harvard Art Museums/Arthur M. Sackler Museum, Gift of Dr. Arnold Knapp",http://nrs.harvard.edu/urn-3:HUAM:VRS45015_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze,http://harvardartmuseums.org/collections/object/332682,332682,Covered Square Storage Jar (Fanghu) with Four Ring-Mask Handles and with Abstract Dragon Decor,Asian and Mediterranean Art,-475,Vessels,http://nrs.harvard.edu/urn-3:HUAM:VRS45015_dynmc,,1,20863960,President and Fellows of Harvard College,45015,,Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,900,"Harvard Art Museums/Arthur M. Sackler Museum, Partial gift of the Walter C. Sedgwick Foundation and partial purchase through the Ernest B. and Helen Pratt Dane Fund for the Acquisition of Oriental Art",http://nrs.harvard.edu/urn-3:HUAM:CARP01267_dynmc,2028317,Creation Place,"East Asia, China",Silvered bronze,http://harvardartmuseums.org/collections/object/176971,176971,"Covered Tripod 'Fu' Jar, the Cover with a Knob in the Form of a Lotus Blossom",Asian and Mediterranean Art,700,Vessels,http://nrs.harvard.edu/urn-3:HUAM:CARP01267_dynmc,,1,18211612,President and Fellows of Harvard College,CARP01267,H. 17.8 x W. (across legs) 18.9 x Diam. 16.8 cm (7 x 7 7/16 x 6 5/8 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,-1,"Harvard Art Museums/Arthur M. Sackler Museum, Partial gift of the Walter C. Sedgwick Foundation and partial purchase through the Louise Haskell Daly Fund",http://nrs.harvard.edu/urn-3:HUAM:CARP00137_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze,http://harvardartmuseums.org/collections/object/190471,190471,Globular Vessel with Long Neck Terminating in the Head of a Goose,Asian and Mediterranean Art,-200,Vessels,http://nrs.harvard.edu/urn-3:HUAM:CARP00137_dynmc,,1,18210580,President and Fellows of Harvard College,CARP00137,H. 33 x Diam. 18.3 cm (13 x 7 3/16 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,-1000,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:51316_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze with olive-green patina; with inscription cast on the interior,http://harvardartmuseums.org/collections/object/199593,199593,'Fangding' Ritual Food Vessel with Abstract Decor,Asian and Mediterranean Art,-1400,Vessels,http://nrs.harvard.edu/urn-3:HUAM:51316_dynmc,,1,17386609,President and Fellows of Harvard College,51316,"H. 21.7 x W. 17.1 x D. 15.2 cm (8 9/16 x 6 3/4 x 6 in.)
Weight 3508.25 g",Chinese,http://nrs.harvard.edu/urn-3:HUAM:48916_dynmc,,2,43183158,President and Fellows of Harvard College,48916,http://nrs.harvard.edu/urn-3:HUAM:48917_dynmc,"detail, rubbing of inscription",3,43183159,President and Fellows of Harvard College,48917,http://nrs.harvard.edu/urn-3:HUAM:51317_dynmc,detail of inscription,4,17386610,President and Fellows of Harvard College,51317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,-1000,"Harvard Art Museums/Arthur M. Sackler Museum, Gift of Dr. and Mrs. Milford D. Schulz",http://nrs.harvard.edu/urn-3:HUAM:VRS13334_dynmc,2028317,Creation Place,"East Asia, China",Bronze,http://harvardartmuseums.org/collections/object/200838,200838,Socketed Spearhead (Mao),Asian and Mediterranean Art,-1300,Weapons and Ammunition,http://nrs.harvard.edu/urn-3:HUAM:VRS13334_dynmc,,1,20669863,President and Fellows of Harvard College,13334,L. 29.2 x W. 6.7 cm (11 1/2 x 2 5/8 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,-700,"Harvard Art Museums/Arthur M. Sackler Museum, Gift of Dr. and Mrs. Milford D. Schulz",http://nrs.harvard.edu/urn-3:HUAM:VRS13383_dynmc,2028317,Creation Place,"East Asia, China",Bronze,http://harvardartmuseums.org/collections/object/200840,200840,Knife (Dao) with Ring Handle-End,Asian and Mediterranean Art,-1300,Weapons and Ammunition,http://nrs.harvard.edu/urn-3:HUAM:VRS13383_dynmc,,1,20669870,President and Fellows of Harvard College,13383,L. 24.1 x W. 3.8 cm (9 1/2 x 1 1/2 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,,800,"Harvard Art Museums/Arthur M. Sackler Museum, Gift of Margot Warner",http://nrs.harvard.edu/urn-3:HUAM:CARP09271_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze,http://harvardartmuseums.org/collections/object/201064,201064,Fragment of an Eight-Lobed Mirror with Relief Decoration of Four Birds (one of three pieces that form a complete mirror),Asian and Mediterranean Art,700,Mirrors,http://nrs.harvard.edu/urn-3:HUAM:CARP09271_dynmc,,1,18723097,President and Fellows of Harvard College,CARP09271,"L. 14.3 cm (5 5/8 in.)
complete mirror: Diam. 14.9 cm (5 7/8 in.)",Chinese,http://nrs.harvard.edu/urn-3:HUAM:CARP09274_dynmc,1984.215.A-C fragments assembled to form complete mirror,2,18723100,President and Fellows of Harvard College,CARP09274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,,800,"Harvard Art Museums/Arthur M. Sackler Museum, Gift of Margot Warner",http://nrs.harvard.edu/urn-3:HUAM:CARP09276_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze,http://harvardartmuseums.org/collections/object/201069,201069,"Fragment of an Eight-Lobed Mirror with Relief Decoration of Two Phoenixes, a Qilin, and a Mythical Animal (one of four pieces that form an incomplete mirror)",Asian and Mediterranean Art,700,Mirrors,http://nrs.harvard.edu/urn-3:HUAM:CARP09276_dynmc,,1,18723102,President and Fellows of Harvard College,CARP09276,L. 6.7 cm (2 5/8 in.),Chinese,http://nrs.harvard.edu/urn-3:HUAM:CARP09279_dynmc,1984.216.A-D fragments assembled to form incomplete mirror,2,18723105,President and Fellows of Harvard College,CARP09279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,,-1,"Harvard Art Museums/Arthur M. Sackler Museum, Ernest B. and Helen Pratt Dane Fund for the Acquisition of Oriental Art",http://nrs.harvard.edu/urn-3:HUAM:VRS12726_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze,http://harvardartmuseums.org/collections/object/201792,201792,Archaic Bronze Square Wine Jar (Fanghu) with Two Ring-Mask Handles and with a Replacement Cover,Asian and Mediterranean Art,-200,Vessels,http://nrs.harvard.edu/urn-3:HUAM:VRS12726_dynmc,,1,20669613,President and Fellows of Harvard College,12726,including cover: 42.8 x 21 x 21 cm (16 7/8 x 8 1/4 x 8 1/4 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,,1795,"Harvard Art Museums/Arthur M. Sackler Museum, Gift of John West",http://nrs.harvard.edu/urn-3:HUAM:VRS42588_dynmc,2028317,Creation Place,"East Asia, China","Cast bronze with localized areas of cold gilding and red and blue pigments; with cast inscription at the front of base reading ""Da Qing Qianlong nian jing zao""",http://harvardartmuseums.org/collections/object/203402,203402,"Seated Bodhisattva with Right Hand in Vitarka Mudra, Left Hand Holding the Stalk of a Lotus Blossom, which support a Ganta Bell and Vajra",Asian and Mediterranean Art,1736,Sculpture,http://nrs.harvard.edu/urn-3:HUAM:VRS42588_dynmc,,1,20679879,President and Fellows of Harvard College,42588,H. 37.5 cm (14 3/4 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
